id,game_id,hastily,normally,completely,count,game_name,popularity_value,genres,platforms,keywords,log_popularity_value,cover_url
3776,164867,,1970-01-01 12:00:00,,3,Dredge,0.000338232457091,Role-playing (RPG) | Simulator | Adventure,Xbox Series X|S | PlayStation 4 | Android | PC (Microsoft Windows) | iOS | PlayStation 5 | Mac | Xbox One | Nintendo Switch,exploration | psychological horror | 3d | fishing | stylized | lovecraftian | sailing | psychological | story rich | upgradable equipment | steam achievements | digital distribution | physical release | boat | trawling | previously on - prime gaming | available on - luna plus,0.0003381752693882,//images.igdb.com/igdb/image/upload/t_thumb/co9kyk.jpg
3777,135818,1970-01-01 04:00:00,1970-01-01 06:00:00,,1,Pizza Tower,0.000526686233359,Platform | Adventure | Indie,PC (Microsoft Windows) | Nintendo Switch,surrealism | fast paced | cartoon graphics | pizza | cartoony | ranking system | original soundtrack release | in-game achievement menu | cartoon violence | surreal comedy,0.0005265475828462,//images.igdb.com/igdb/image/upload/t_thumb/co5uu1.jpg
3778,326178,1970-01-01 04:00:00,1970-01-01 06:00:00,1970-01-01 06:00:00,1,Flash Doll,5.307087002e-06,Strategy | Indie,PC (Microsoft Windows),Not Available,5.307072919463601e-06,//images.igdb.com/igdb/image/upload/t_thumb/co97me.jpg
3779,300568,,1970-01-01 01:00:00,,1,Our Souls Never Sleep,9.43739e-07,Puzzle | Adventure | Indie,PC (Microsoft Windows),Not Available,9.4373855467863e-07,//images.igdb.com/igdb/image/upload/t_thumb/co86rr.jpg
3780,114795,,,1970-02-11 20:00:00,3,Apex Legends,0.005363714664154,Shooter | Tactical,Xbox Series X|S | PlayStation 4 | Nintendo Switch 2 | PC (Microsoft Windows) | PlayStation 5 | Xbox One | Nintendo Switch,thief | comics | squad based | crafting | pvp | soldier | robots | androids | doctor | female protagonist | achievements | wall climbing | portals | in-game currency | teleportation | mad scientist | melee combat | free-to-play | hunter | hacker | drone | hitman | loot boxes | daily login rewards | bow and arrow | microtransaction | hologram | black market | melee | grapple | in-game achievement menu | in-game achievements | respawning | mercenary | squad | scientist | healer | squad based shooter | mechanic | invisibility | air strike | crow | seasons | passive ability | male protagonist | lesbian | nonbinary protagonist | gay protagonist,0.005349381177632,//images.igdb.com/igdb/image/upload/t_thumb/coa93z.jpg
3781,134583,,1970-01-02 16:00:00,1970-01-03 22:00:00,1,Forspoken,2.8819439758e-05,Role-playing (RPG) | Adventure,PC (Microsoft Windows) | PlayStation 5,magic | parkour | female protagonist | black protagonist,2.8819024485924603e-05,//images.igdb.com/igdb/image/upload/t_thumb/co4u6r.jpg
3782,4840,1970-01-01 05:00:00,1970-01-01 14:20:00,1970-01-01 14:00:00,3,S.T.A.L.K.E.R.: Clear Sky,0.000152444267638,Shooter | Role-playing (RPG),PlayStation 4 | PC (Microsoft Windows) | Xbox One | Nintendo Switch,modern warfare | helicopter | post-apocalyptic | bloody | russia | murder | artifacts | guitar playing | death | war | steam | apocalypse | mutants | artificial intelligence | dialogue trees | amnesia | silent protagonist | day/night cycle | radiation | digital distribution | platform exclusive | modern military | original soundtrack release | wasd movement | ragdoll physics | instant kill | interactive environments | physics manipulation | realism | guerilla warfare | fetch quests | nuclear holocaust | nuclear fallout | realistic ballistics | acronym titles | multi-monitor support | immersive,0.0001524326491913,//images.igdb.com/igdb/image/upload/t_thumb/co5pz9.jpg
3783,223863,,1970-01-01 14:00:00,,1,Tintin Reporter: Cigars of the Pharaoh,4.620431548e-06,Adventure,Xbox Series X|S | PlayStation 4 | PC (Microsoft Windows) | PlayStation 5 | Xbox One | Nintendo Switch,Not Available,4.620420873839035e-06,//images.igdb.com/igdb/image/upload/t_thumb/co6zlm.jpg
3784,288582,,1970-01-09 08:00:00,,1,Tombstone MMO,3.2738582419e-05,Role-playing (RPG) | Indie,Web browser | Android | PC (Microsoft Windows),western | post-apocalyptic | 2d | lowres,3.273804652330688e-05,//images.igdb.com/igdb/image/upload/t_thumb/co98xj.jpg
3785,326902,,,1970-01-01 01:00:00,1,Finally A NSMB2 Christmas Mod,4.620431548e-06,Platform,Nintendo 3DS,christmas | mario | 2d platformer | sidescroller,4.620420873839035e-06,//images.igdb.com/igdb/image/upload/t_thumb/co97jr.jpg
